ID,Response
ID_ZPMABNVX,0.08605722799686659
ID_WFE91NAA,0.351802821870128
ID_JV11RBRK,0.02895956562917601
ID_6B7SVKY9,0.3506180774014486
ID_GOVUZ545,0.1158113576772132
ID_A3SFW973,0.04802635534916005
ID_HERGG0GD,0.004848874974115702
ID_S36UV4BY,0.007885765404878125
ID_9E10P1ZZ,0.06982028741161221
ID_2840OCS5,0.006363668111838572
ID_JCTOSHNK,0.17084553074562012
ID_9LLVM41O,0.23396618422716098
ID_TDCG3QVS,0.1972398129182284
ID_2RE3UL3M,0.7195935032524589
ID_62X1U1Q9,0.01688943656131335
ID_79N73FHZ,0.10905971326722715
ID_CUSB2F0K,0.21011358450358236
ID_9EAC9BLH,0.5392357784411542
ID_KQNSDF1S,0.04860836357431435
ID_30PH2BQB,0.036746819442937055
ID_1ROZENIZ,0.8053179444253218
ID_14DP6I2K,0.46602329747460924
ID_YBNSBULG,0.19487604014774262
ID_EN6J3AN0,0.8884497439971856
ID_YLNY205A,0.17431072500838574
ID_JN69O071,0.5075476368898135
ID_HMQNRSKW,0.05019949879781088
ID_94W19YVD,0.6804381497226833
ID_3QFCADD4,0.3437841595276299
ID_7SQGAJEV,0.024095916606040456
ID_ORL3J2MS,0.12876154375675566
ID_ZZP16F3C,0.15141550832061368
ID_F1OA5IFK,0.1879315790630208
ID_88ZZH3F8,0.0070542687841075565
ID_ECUNIT20,0.7892617061877509
ID_BSF2BAKD,0.05314458469492557
ID_2VMFU08P,0.843401986792092
ID_F49IFMQZ,0.02909105195207577
ID_S86IE9EC,0.022541568704221866
ID_LXLOIXGQ,0.02335657524747134
ID_QCJ01BWI,0.024398876047650616
ID_MOW0IJ2P,0.06302510258965717
ID_YP1AKCV3,0.03503918555217203
ID_KVSACQLG,0.3309697188220361
ID_11N5AFNU,0.12972082971099425
ID_IQZYXI8F,0.675964726433065
ID_36930STY,0.04872020027586472
ID_D89BUNFW,0.009994018871922947
ID_7BGL0ZAA,0.47373430423688756
ID_F1GDNP7N,0.0878421082204755
ID_Q2XRKOZL,0.005991525333908774
ID_BHN7VSWC,0.2256518833768649
ID_8429NU7K,0.8746351558978359
ID_I2DHJB1L,0.26594753924418335
ID_WKHK4001,0.00731380851187006
ID_5OBUZA1O,0.024704080723928216
ID_41LLBNJQ,0.01637407113535651
ID_KEOWXCCD,0.3237399857545153
ID_0KMNSZWV,0.03274278131005553
ID_UTLEFRXM,0.10249681559402764
ID_16MG7LYH,0.3732996589640132
ID_H24QJ2Q8,0.028625012690877416
ID_NBFRZBCE,0.02339211203057249
ID_XGLL6MQE,0.30356995556533617
ID_3JEDHRBP,0.011997509960488293
ID_DYG2GME5,0.7921145460416048
ID_D0KRDI51,0.570406635164024
ID_LK6SIOEA,0.09513740758476584
ID_XPY9XDOP,0.021082917967718363
ID_2OTU72O6,0.006338403399955094
ID_KKL65T9F,0.06267783603606115
ID_C6TEGBKE,0.7365062947246033
ID_HW88QYQD,0.17233202637672573
ID_XWQRU9C4,0.008864899118133127
ID_QNQTI39I,0.0070467728638636375
ID_LAGANIA8,0.6862099867408505
ID_SU9D6TMM,0.589373846479838
ID_XZW6L3AQ,0.9357621787489128
ID_F1R1CDPL,0.13933891175621196
ID_SETTONXG,0.5825392911104041
ID_4FVVBY60,0.01920187394743788
ID_FSH3NSNE,0.23759596381009626
ID_MFK6E740,0.5003441828479795
ID_5JNNZ41M,0.0072868780540385255
ID_FA3WWG6M,0.06289473615336888
ID_RUNUFFBD,0.02218514764669044
ID_QS6BK27S,0.014054152897190319
ID_M03QVVEJ,0.0552725652109074
ID_IYPIVY3M,0.02922642887619975
ID_ZQIN3XSK,0.009387730258979607
ID_C14G9DKZ,0.21215874042405178
ID_9I5N02TF,0.03289451559031935
ID_GOX7KLAY,0.06937204212042344
ID_UKIXMSOI,0.01326452676020409
ID_TQVUT0WV,0.009599059734735866
ID_MFF0OK76,0.5007977330117572
ID_I41JGE4L,0.11363062206047903
ID_MMMFQO70,0.017376586053688765
ID_QRQFCVY9,0.022333631914692766
ID_TZC3FVBF,0.15194535337765752
ID_4ZIJKL1Y,0.016896327320510576
ID_Z5PT2QQY,0.021100107899264177
ID_62KUVGO0,0.01197993897029231
ID_5EF89O6L,0.026422679875826943
ID_L1TNRLJV,0.006028902852972319
ID_88QP2O5S,0.027106381442935056
ID_RBIF9TW2,0.04828603609774042
ID_1R72D2C3,0.2877024138178087
ID_WPW63DHM,0.31704666453205355
ID_E0E4PSGZ,0.02685667082879075
ID_ZIOSHJQJ,0.007852066125835357
ID_S1VCN5D3,0.6165733976550247
ID_4THPGSRW,0.038984335541840026
ID_S5PA7FN5,0.045318821866492526
ID_QQIV3TL3,0.4479461585941344
ID_FKVOYNMX,0.1646019257308873
ID_HXJPIFTP,0.06093640601829022
ID_0TXHED0N,0.20008462518134448
ID_7NPIVZVQ,0.19957984672192325
ID_7GCYQMR2,0.02215420041284554
ID_XA03Q6JP,0.7707384600795721
ID_31UN0V2R,0.07410078297900591
ID_MMUKWN8H,0.30018718709783754
ID_UCHFK8QY,0.005651164234423318
ID_UOXI4R5B,0.009024132260188642
ID_SO4BANZR,0.0071994993941505315
ID_5K4VR5G4,0.02194110038900673
ID_D4KM8GV0,0.026599728394697635
ID_J67W7AMR,0.005015614012210971
ID_WLE6O2Q5,0.010829899189878301
ID_OOT2KY77,0.04124447530662836
ID_7JSRFTSE,0.014606734170053936
ID_9H9CZHED,0.19923022183050734
ID_PAGZAXSJ,0.0414822331614372
ID_EQCF2IKR,0.015669913194546994
ID_0OCNOPRY,0.0993798266127808
ID_XQJP6QHV,0.08312419886986158
ID_7MZRIGE3,0.011662230647609453
ID_FCHZUYZD,0.11384832952605368
ID_W5C52PY7,0.03160101734729398
ID_O4IODBMP,0.10947742248313379
ID_FLU88JWD,0.2827412903552843
ID_8WSFGO9C,0.12087640790403187
ID_B8261IUD,0.19936461704610603
ID_92ZKN54U,0.6237016258939863
ID_LB4WDBEA,0.008269629399858761
ID_VR8MVJOF,0.01082071624239423
ID_7RQHCKUW,0.06175808451778547
ID_2J5F0JVY,0.5094358653096723
ID_6JQCAJ5M,0.009983913280973075
ID_YDFVV8CX,0.018647985273611327
ID_4QQHS4Z7,0.10252743263617628
ID_1YO7KVFJ,0.6379801261014523
