VehicleID,Amount (Million Naira)
VHL18518,10.667082607676344
VHL17149,8.824570217920861
VHL10927,4.051303329719967
VHL12909,6.382689114669381
VHL12348,10.845385354903787
VHL10798,28.702466317687776
VHL11022,2.4823160249798226
VHL12206,8.44604523348727
VHL11697,13.280948968426989
VHL12313,9.135260079681611
VHL13411,22.75828237498626
VHL14334,3.3797125669507166
VHL14302,6.301682267496733
VHL13979,4.69135942263259
VHL12272,2.2066765336121668
VHL15071,9.37045888539981
VHL19166,4.315586048875366
VHL10471,3.133544604981229
VHL18431,3.0686013094254396
VHL12325,7.844823049203621
VHL15657,3.0983310505754114
VHL13667,24.95156092681121
VHL18913,6.935540154228427
VHL13273,7.826286372086415
VHL16576,0.8125321251953725
VHL15506,4.015278082836211
VHL10460,55.16510452911605
VHL16050,1.4627057684149107
VHL17918,4.787900182242574
VHL12992,5.386276408258469
VHL10261,7.524313650126329
VHL18348,9.669372249146381
VHL11577,8.711507435404794
VHL16957,1.9615551681417713
VHL16165,14.894437820799151
VHL11441,4.073837440368645
VHL19990,3.3335432120204502
VHL14072,4.667618997707391
VHL13637,1.8852648227683944
VHL10757,12.39055617029667
VHL12657,9.65204992579738
VHL19939,16.75718337192792
VHL12094,11.515546588172906
VHL17177,5.537645747747835
VHL16720,15.81070876864583
VHL11478,38.526298889726874
VHL14386,10.938747348240042
VHL11341,12.21349160619921
VHL18683,9.155374123348285
VHL13430,15.584285505642232
VHL18932,2.8931566201106405
VHL17505,8.043316704162624
VHL16272,5.340995069910764
VHL14777,4.290570533536434
VHL13186,8.534120653079817
VHL19383,1.740319055202778
VHL14605,12.464369570964225
VHL11440,25.0080844915311
VHL14303,13.034301468451645
VHL19478,5.121890414482617
VHL17837,3.8782750507384165
VHL12824,3.2500802025876814
VHL17476,5.8161248033153985
VHL18988,2.1071168287959683
VHL19482,6.6812882077918925
VHL13263,4.013408176512817
VHL17078,10.03983645212156
VHL19170,3.006206501260114
VHL18070,3.7100205982815355
VHL18061,15.728044493405907
VHL10726,3.069483222037354
VHL19212,2.58327529595712
VHL13283,2.872944197593622
VHL14023,9.995139551985327
VHL16973,38.95869700443
VHL19653,15.520160302720925
VHL18605,11.810842048403995
VHL13287,10.622581191817265
VHL15719,3.1954468642407727
VHL19636,6.252919007014926
VHL11009,12.894885091217077
VHL18087,2.6256333579856728
VHL14422,4.362506245600315
VHL15789,26.48797801653013
VHL12369,5.049691470028319
VHL15812,3.936661188163235
VHL18767,154.3240953717556
VHL19271,30.010581925126264
VHL17403,3.153781590085172
VHL12967,4.959261845327719
VHL19998,8.32904033532189
VHL12336,2.996181922309469
VHL10328,2.930224227209146
VHL18908,2.6412507670459844
VHL11127,7.61488081885391
VHL12655,17.40045040106509
VHL19086,94.59082226676514
VHL10384,13.835204439844825
VHL15712,15.125806763896563
VHL11054,20.181392650085822
VHL16505,5.041770090408287
VHL10534,3.0304452677675604
VHL14120,3.3476302640578384
VHL10206,8.434779139062943
VHL13595,14.89400916160363
VHL15887,5.3288715385133445
VHL12672,5.095491087323495
VHL19770,4.704551112292429
VHL13026,18.076241954092453
VHL12635,12.174480120669442
VHL14014,6.623714108980797
VHL19238,4.172138580943516
VHL18156,7.032557136672253
VHL13087,6.428105121244313
VHL13743,3.0516705748194037
VHL19323,96.3219074240065
VHL16129,7.766361577670716
VHL17626,5.782917781891344
VHL14525,1.493704076652854
VHL15597,106.32391469628813
VHL19429,8.279776685487324
VHL14074,9.680266081216244
VHL17422,121.69284915691551
VHL11861,29.215498312588913
VHL19828,24.018094609902356
VHL14000,4.711887758771509
VHL12312,5.481969543247111
VHL16257,2.8976193129547494
VHL14859,5.995385422397341
VHL16048,3.9771121902824147
VHL14039,1.176183423792389
VHL10296,2.276270976258367
VHL14949,1.8970345496158814
VHL17034,22.753055885505606
VHL17149,22.771013262849856
VHL19677,7.364956692782137
VHL14433,5.1514969564209085
VHL16582,6.1766924131979435
VHL10059,11.073899631323616
VHL17140,16.22046816773769
VHL10364,4.935466589965538
VHL16932,5.328978135807043
VHL18587,5.918093195307519
VHL13635,1.8377503525711365
VHL18371,20.431929313963884
VHL19622,13.09329461169738
VHL18669,10.751045403333343
VHL17359,1.83826693134748
VHL19788,10.474177309546281
VHL19078,21.525580680183605
VHL12673,2.693720550312746
VHL17895,1.9600845781048661
VHL18950,26.140094059859727
VHL13562,33.24564699975472
VHL11306,11.784788831083256
VHL15496,4.862549511958873
VHL11927,15.423042154886407
VHL10392,31.126804918080023
VHL14124,4.862546023961931
VHL12586,8.41391455802928
VHL12895,5.288632295733699
VHL18481,4.319160054235302
VHL11310,3.35053264693732
VHL15810,3.2200410361638268
VHL16037,10.327226945082236
VHL19627,36.862031194122345
VHL11152,17.449458582994886
VHL17698,27.820679858087335
VHL19815,59.68449280570915
VHL18192,3.1580556215549516
VHL19720,2.304342145011308
VHL11686,13.71688118317321
VHL18649,8.498177619749779
VHL12765,8.20808270401095
VHL10026,11.665944016256976
