Customer_ID,Best_Offer
Customer_708,1
Customer_47,1
Customer_3995,1
Customer_1513,0
Customer_3686,0
Customer_2835,1
Customer_2492,0
Customer_4192,0
Customer_6865,0
Customer_6354,1
Customer_1010,1
Customer_2707,1
Customer_4304,1
Customer_3126,1
Customer_7716,1
Customer_4373,0
Customer_1002,0
Customer_315,0
Customer_8052,1
Customer_9079,1
Customer_6848,0
Customer_1496,0
Customer_3601,1
Customer_6375,0
Customer_965,0
Customer_2389,1
Customer_2862,0
Customer_4326,0
Customer_3891,0
Customer_2221,1
Customer_8919,2
Customer_3352,0
Customer_1691,1
Customer_93,0
Customer_6657,0
Customer_1728,0
Customer_2698,1
Customer_6686,1
Customer_2865,1
Customer_5100,1
Customer_4085,0
Customer_3755,1
Customer_9100,1
Customer_8365,0
Customer_1180,1
Customer_8905,0
Customer_1175,1
Customer_653,0
Customer_6523,0
Customer_2439,1
Customer_5521,0
Customer_3346,1
Customer_5992,0
Customer_6946,0
Customer_8376,2
Customer_9080,1
Customer_7847,0
Customer_5723,0
Customer_7945,0
Customer_447,0
Customer_2812,0
Customer_7613,0
Customer_5349,0
Customer_7695,0
Customer_5362,0
Customer_4301,1
Customer_5969,0
Customer_620,1
Customer_248,1
Customer_1501,1
Customer_3433,0
Customer_7370,1
Customer_4471,1
Customer_2344,0
Customer_3749,0
Customer_7963,1
Customer_7622,0
Customer_7213,1
Customer_4169,0
Customer_2777,0
Customer_1153,0
Customer_6220,0
Customer_8539,0
Customer_3532,0
Customer_4836,0
Customer_4791,0
Customer_8535,1
Customer_6401,1
Customer_5107,1
Customer_6339,0
Customer_8431,1
Customer_4581,0
Customer_4119,0
Customer_8588,0
Customer_2166,1
Customer_318,0
Customer_4329,0
Customer_5564,1
Customer_4686,1
Customer_511,0
Customer_4511,0
Customer_7765,0
Customer_6312,1
Customer_4663,1
Customer_8479,0
Customer_6087,0
Customer_2680,0
Customer_7549,0
Customer_7720,0
Customer_1488,1
Customer_7292,1
Customer_3518,0
Customer_5193,1
Customer_5613,1
Customer_6916,0
Customer_8708,0
Customer_5209,0
Customer_2651,0
Customer_8665,1
Customer_2499,0
Customer_7925,1
Customer_8083,0
Customer_3204,0
Customer_2999,0
Customer_8727,0
Customer_8099,1
Customer_7918,0
Customer_2944,0
Customer_6051,2
Customer_4467,0
Customer_7740,0
Customer_5034,1
Customer_9035,0
Customer_95,1
Customer_5953,1
Customer_8532,1
Customer_4480,1
Customer_2884,1
Customer_1851,1
Customer_1183,0
Customer_4317,1
Customer_2954,0
Customer_8039,0
Customer_1527,1
Customer_119,1
Customer_4415,1
Customer_8250,1
Customer_8358,0
Customer_1922,1
Customer_2650,0
Customer_5741,1
Customer_1402,0
Customer_1406,1
Customer_8858,1
Customer_5171,1
Customer_647,0
Customer_7844,1
Customer_3017,0
Customer_2984,0
Customer_267,0
Customer_4879,2
Customer_80,0
Customer_6692,1
Customer_8816,0
Customer_5653,1
Customer_2922,1
Customer_3616,1
Customer_4602,0
Customer_7470,1
Customer_6498,1
Customer_3533,1
Customer_6512,1
Customer_3469,1
Customer_3397,1
Customer_3680,1
Customer_6448,1
Customer_457,0
Customer_3172,3
Customer_7909,1
Customer_7751,0
Customer_3666,1
Customer_4586,0
Customer_6152,1
Customer_2067,0
Customer_4421,0
Customer_1413,1
Customer_3931,0
Customer_8500,0
Customer_7468,1
Customer_3837,0
Customer_7843,1
Customer_7000,0
Customer_6062,0
Customer_1188,0
Customer_8092,1
Customer_6361,0
Customer_4512,0
Customer_563,1
Customer_169,0
Customer_908,2
Customer_5336,1
Customer_8219,0
Customer_360,0
Customer_3297,0
Customer_6695,0
Customer_2354,1
Customer_8778,0
Customer_1945,1
Customer_286,0
Customer_6383,0
Customer_3708,1
Customer_3887,0
Customer_7061,0
Customer_88,1
Customer_6847,0
Customer_6653,0
Customer_4296,0
Customer_330,1
Customer_6249,3
Customer_5770,0
Customer_8021,1
Customer_7104,0
Customer_743,1
Customer_1614,0
Customer_1550,0
Customer_7985,0
Customer_1068,1
Customer_1452,0
Customer_1729,1
Customer_1608,0
Customer_6663,1
Customer_1372,1
Customer_7626,0
Customer_5430,0
Customer_5382,0
Customer_6491,1
Customer_8071,1
Customer_6363,0
Customer_3658,1
Customer_2022,1
Customer_3024,0
Customer_2728,0
Customer_6751,0
Customer_2498,1
Customer_8168,0
Customer_76,1
Customer_4919,0
Customer_2239,0
Customer_7505,0
Customer_2582,0
Customer_2228,0
Customer_3312,0
Customer_4787,1
Customer_3870,1
Customer_2150,0
Customer_736,1
Customer_2167,0
Customer_2132,3
Customer_2770,0
Customer_4464,3
Customer_4634,1
Customer_474,0
Customer_1915,1
Customer_1483,0
Customer_8757,0
Customer_2215,0
Customer_5246,0
Customer_761,0
Customer_5682,1
Customer_7864,0
Customer_8374,1
Customer_4407,0
Customer_6108,1
Customer_6193,0
Customer_5114,1
Customer_8634,2
Customer_4982,0
Customer_265,0
Customer_4217,1
Customer_3437,1
Customer_5418,1
Customer_7741,1
Customer_1770,0
Customer_4038,0
Customer_1720,1
Customer_8697,0
Customer_5705,0
Customer_582,0
Customer_5317,1
Customer_5098,1
Customer_4098,0
Customer_1747,0
Customer_7356,0
Customer_1349,1
Customer_1145,0
Customer_1962,1
Customer_6348,1
Customer_6516,0
Customer_1076,1
Customer_6219,0
Customer_3429,0
Customer_733,0
Customer_2858,1
Customer_3148,0
Customer_8939,0
Customer_4715,0
Customer_8255,0
Customer_6580,0
Customer_927,0
Customer_8966,3
Customer_5096,0
Customer_2549,0
Customer_7755,0
Customer_8983,0
Customer_3044,0
Customer_8859,0
Customer_1018,1
Customer_1414,1
Customer_5597,1
Customer_7447,1
Customer_4701,0
Customer_9132,1
Customer_2982,1
Customer_4766,1
Customer_2766,0
Customer_4844,1
Customer_3122,1
Customer_8220,0
Customer_1313,0
Customer_2576,0
Customer_8876,1
Customer_5152,2
Customer_5353,2
Customer_7677,0
Customer_4934,1
Customer_5059,1
Customer_7185,1
Customer_6360,0
Customer_1603,3
Customer_3063,0
Customer_5388,0
Customer_8843,0
Customer_828,0
Customer_106,0
Customer_6242,1
Customer_1417,0
Customer_6885,3
Customer_9001,0
Customer_4353,1
Customer_592,0
Customer_7700,1
Customer_7296,0
Customer_7890,1
Customer_2641,1
Customer_3130,1
Customer_3960,0
Customer_212,1
Customer_8206,0
Customer_700,0
Customer_1662,2
Customer_4983,0
Customer_7990,0
Customer_4441,0
Customer_8660,1
Customer_1263,1
Customer_3272,0
Customer_1543,0
Customer_6622,0
Customer_4709,1
Customer_4692,1
Customer_107,0
Customer_8940,0
Customer_4269,1
Customer_5584,1
Customer_2881,1
Customer_7460,0
Customer_6394,1
Customer_2260,1
Customer_1090,0
Customer_3916,1
Customer_8256,1
Customer_1745,1
Customer_5140,0
Customer_9027,0
Customer_1557,1
Customer_1934,1
Customer_4747,1
Customer_4794,0
Customer_8183,0
Customer_3836,1
Customer_624,0
Customer_239,0
Customer_1472,1
Customer_9098,0
Customer_4338,0
Customer_222,1
Customer_940,1
Customer_5781,0
Customer_2678,1
Customer_2833,1
Customer_1253,1
Customer_1393,0
Customer_1034,0
Customer_7340,0
Customer_131,0
Customer_8203,1
Customer_2227,0
Customer_2533,0
Customer_5955,1
Customer_2864,0
Customer_7420,1
Customer_2726,0
Customer_1512,0
Customer_6518,0
Customer_3626,0
Customer_4990,1
Customer_7178,0
Customer_8855,1
Customer_5019,1
Customer_7922,0
Customer_6255,1
Customer_8481,0
Customer_3971,1
Customer_623,1
Customer_5032,0
Customer_2870,1
Customer_1314,0
Customer_6705,0
Customer_5552,0
Customer_4707,0
Customer_1055,0
Customer_2684,0
Customer_5862,2
Customer_9123,1
Customer_5522,0
Customer_5749,0
Customer_1593,1
Customer_92,3
Customer_4302,0
Customer_1322,0
Customer_1022,1
Customer_5011,1
Customer_8740,0
Customer_7281,1
Customer_6110,0
Customer_7853,0
Customer_9109,0
Customer_7611,1
Customer_6574,0
Customer_2860,1
Customer_4446,0
Customer_3880,0
Customer_6169,0
Customer_3693,1
Customer_6897,0
Customer_4385,0
Customer_3855,0
Customer_1954,1
Customer_2246,0
Customer_5970,2
Customer_3934,0
Customer_1981,1
Customer_7236,1
Customer_6589,1
Customer_2098,0
Customer_567,0
Customer_8068,1
Customer_2926,0
Customer_1790,3
Customer_6723,0
Customer_1746,2
Customer_4687,1
Customer_4721,1
Customer_3481,1
Customer_5436,0
Customer_5762,0
Customer_2729,1
Customer_2164,0
Customer_4694,0
Customer_2404,3
Customer_6181,1
Customer_4695,1
Customer_3412,1
Customer_2251,1
Customer_321,1
Customer_6566,0
Customer_4708,0
Customer_554,0
Customer_8925,3
Customer_5894,0
Customer_7873,0
Customer_3027,0
Customer_1162,0
Customer_6693,0
Customer_1803,1
Customer_3307,1
Customer_4128,0
Customer_5809,1
Customer_8914,0
Customer_509,1
Customer_3256,1
Customer_5045,0
Customer_2754,0
Customer_518,0
Customer_1862,0
Customer_6112,1
Customer_2818,1
Customer_2517,1
Customer_7212,1
Customer_7224,1
Customer_8947,1
Customer_3208,1
Customer_6123,2
Customer_1793,0
Customer_8044,0
Customer_2483,0
Customer_3016,1
Customer_2302,2
Customer_8382,1
Customer_4951,0
Customer_8499,0
Customer_14,0
Customer_5709,0
Customer_866,1
Customer_2407,1
Customer_1087,0
Customer_4299,0
Customer_8246,0
Customer_8214,1
Customer_6961,0
Customer_3527,1
Customer_6495,0
Customer_6840,0
Customer_2748,1
Customer_6299,1
Customer_6065,1
Customer_5888,0
Customer_3790,0
Customer_2760,0
Customer_1780,0
Customer_765,1
Customer_4029,0
Customer_8233,0
Customer_5111,1
Customer_1558,0
Customer_7974,1
Customer_711,1
Customer_2795,0
Customer_6321,1
Customer_586,0
Customer_7199,1
Customer_4222,0
Customer_6478,1
Customer_5925,0
Customer_2995,2
Customer_4313,0
Customer_3254,0
Customer_8982,0
Customer_4156,0
Customer_9127,1
